Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-19T14:45:26.406;536732122825256991;84610;-2045;-123605;-478089;
2024-04-19T14:45:26.424;536732122843417574;84118;-2386;-123783;-478043;
2024-04-19T14:45:26.442;536732122861578157;83771;-2700;-123905;-478061;
2024-04-19T14:45:26.460;536732122879738740;83562;-2974;-123991;-478086;
2024-04-19T14:45:26.479;536732122897899323;83378;-3138;-124022;-478081;
2024-04-19T14:45:26.497;536732122916059906;83247;-3343;-124022;-478034;
2024-04-19T14:45:26.515;536732122934220489;83088;-3469;-123917;-478045;
2024-04-19T14:45:26.533;536732122952381072;83002;-3579;-123804;-478031;
2024-04-19T14:45:26.551;536732122970541655;82848;-3697;-123757;-478049;
2024-04-19T14:45:26.569;536732122988702238;82612;-3872;-123701;-477997;
2024-04-19T14:45:26.587;536732123006862821;82339;-4040;-123691;-478071;
2024-04-19T14:45:26.606;536732123025023404;82064;-4219;-123713;-478000;
2024-04-19T14:45:26.624;536732123043183987;81786;-4384;-123744;-478013;
2024-04-19T14:45:26.642;536732123061344570;81436;-4570;-123852;-478012;
2024-04-19T14:45:26.660;536732123079505153;81251;-4784;-123949;-477992;
2024-04-19T14:45:26.678;536732123097665736;81016;-4969;-124001;-478028;
2024-04-19T14:45:26.696;536732123115826319;80836;-5128;-123990;-477995;
2024-04-19T14:45:26.715;536732123133986902;80605;-5236;-124020;-478004;
2024-04-19T14:45:26.733;536732123152147485;80490;-5407;-124077;-478033;
2024-04-19T14:45:26.751;536732123170308068;80290;-5560;-124061;-478066;
2024-04-19T14:45:26.769;536732123188468651;80163;-5702;-124055;-478056;
2024-04-19T14:45:26.787;536732123206629234;80087;-5745;-124060;-478051;
2024-04-19T14:45:26.805;536732123224789817;79951;-5900;-123980;-478057;
2024-04-19T14:45:26.824;536732123242950400;79784;-5987;-123972;-478065;
2024-04-19T14:45:26.842;536732123261110983;79458;-6190;-124051;-478082;
2024-04-19T14:45:26.860;536732123279271566;78982;-6510;-124339;-478090;
2024-04-19T14:45:26.878;536732123297430933;78476;-6976;-124672;-478065;
2024-04-19T14:45:26.896;536732123315590276;77868;-7464;-125093;-478061;
2024-04-19T14:45:26.914;536732123333749619;77244;-7949;-125525;-478095;
2024-04-19T14:45:26.933;536732123351908962;76646;-8318;-125808;-478043;
2024-04-19T14:45:26.951;536732123370068305;76079;-8796;-126119;-478064;
2024-04-19T14:45:26.969;536732123388227648;75716;-9074;-126302;-478054;
2024-04-19T14:45:26.987;536732123406386991;75516;-9372;-126454;-478026;
2024-04-19T14:45:27.005;536732123424546334;75214;-9644;-126614;-478082;
2024-04-19T14:45:27.023;536732123442705677;74923;-9853;-126655;-478089;
2024-04-19T14:45:27.041;536732123460865020;74837;-9954;-126667;-478072;
