Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-25T22:29:14.594;537278355887998374;-410190;-417496;-397527;-530275
2024-04-25T22:29:14.613;537278355906154364;-410195;-417480;-397556;-530281
2024-04-25T22:29:14.631;537278355924310354;-410205;-417550;-397509;-530307
2024-04-25T22:29:14.649;537278355942466344;-410258;-417605;-397604;-530374
2024-04-25T22:29:14.667;537278355960622334;-410198;-417627;-397593;-530325
2024-04-25T22:29:14.685;537278355978778324;-410215;-417594;-397540;-530359
2024-04-25T22:29:14.703;537278355996934314;-410234;-417578;-397527;-530303
2024-04-25T22:29:14.721;537278356015090304;-410236;-417562;-397551;-530305
2024-04-25T22:29:14.740;537278356033246294;-410223;-417548;-397555;-530300
2024-04-25T22:29:14.758;537278356051402284;-410230;-417584;-397543;-530297
2024-04-25T22:29:14.776;537278356069558274;-410199;-417556;-397531;-530274
2024-04-25T22:29:14.794;537278356087714264;-410137;-417567;-397563;-530315
2024-04-25T22:29:14.812;537278356105870254;-410101;-417575;-397531;-530345
2024-04-25T22:29:14.830;537278356124026244;-410219;-417590;-397514;-530277
2024-04-25T22:29:14.849;537278356142182234;-410189;-417591;-397532;-530344
2024-04-25T22:29:14.867;537278356160338224;-410121;-417583;-397505;-530319
2024-04-25T22:29:14.885;537278356178494214;-410149;-417585;-397539;-530359
2024-04-25T22:29:14.903;537278356196650204;-410132;-417578;-397514;-530326
2024-04-25T22:29:14.921;537278356214806131;-410144;-417548;-397515;-530345
2024-04-25T22:29:14.939;537278356232962052;-410125;-417550;-397459;-530336
2024-04-25T22:29:14.957;537278356251117973;-410137;-417646;-397519;-530398
2024-04-25T22:29:14.976;537278356269273894;-410071;-417510;-397442;-530363
2024-04-25T22:29:14.994;537278356287429815;-410102;-417533;-397448;-530367
2024-04-25T22:29:15.012;537278356305585736;-410064;-417550;-397443;-530336
2024-04-25T22:29:15.030;537278356323741657;-410044;-417543;-397386;-530343
2024-04-25T22:29:15.048;537278356341897578;-410040;-417513;-397378;-530343
2024-04-25T22:29:15.066;537278356360053499;-409976;-417501;-397313;-530336
2024-04-25T22:29:15.085;537278356378209420;-409943;-417459;-397262;-530326
2024-04-25T22:29:15.103;537278356396365341;-409955;-417422;-397254;-530290
2024-04-25T22:29:15.121;537278356414521262;-409930;-417378;-397248;-530331
2024-04-25T22:29:15.139;537278356432677183;-409902;-417375;-397211;-530325
2024-04-25T22:29:15.157;537278356450833104;-409892;-417348;-397195;-530318
2024-04-25T22:29:15.175;537278356468989025;-409846;-417322;-397169;-530331
2024-04-25T22:29:15.194;537278356487144946;-409844;-417399;-397169;-530347
2024-04-25T22:29:15.212;537278356505300867;-409865;-417443;-397236;-530336
2024-04-25T22:29:15.230;537278356523456788;-410032;-417528;-397362;-530348
2024-04-25T22:29:15.248;537278356541612709;-410070;-417544;-397408;-530299
2024-04-25T22:29:15.266;537278356559768630;-410198;-417730;-397545;-530312
2024-04-25T22:29:15.284;537278356577924551;-410344;-417865;-397741;-530325
2024-04-25T22:29:15.302;537278356596080472;-410488;-417976;-397898;-530341
2024-04-25T22:29:15.321;537278356614236393;-410554;-418072;-397965;-530319
2024-04-25T22:29:15.339;537278356632392314;-410581;-418128;-398073;-530252
2024-04-25T22:29:15.357;537278356650548235;-410643;-418156;-398108;-530309
2024-04-25T22:29:15.375;537278356668704156;-410704;-418271;-398174;-530324
2024-04-25T22:29:15.393;537278356686860077;-410792;-418352;-398236;-530353
2024-04-25T22:29:15.411;537278356705015998;-410810;-418342;-398270;-530361
2024-04-25T22:29:15.430;537278356723171919;-410846;-418399;-398284;-530346
2024-04-25T22:29:15.448;537278356741327840;-410828;-418399;-398331;-530327
2024-04-25T22:29:15.466;537278356759483761;-410894;-418426;-398374;-530312
2024-04-25T22:29:15.484;537278356777639682;-410910;-418499;-398455;-530327
2024-04-25T22:29:15.502;537278356795795603;-410972;-418524;-398477;-530368
2024-04-25T22:29:15.520;537278356813951524;-411042;-418610;-398558;-530326
2024-04-25T22:29:15.538;537278356832107445;-411127;-418775;-398619;-530312
2024-04-25T22:29:15.557;537278356850263366;-411168;-418791;-398732;-530317
2024-04-25T22:29:15.575;537278356868419287;-411213;-418873;-398804;-530378
2024-04-25T22:29:15.593;537278356886575208;-411296;-418880;-398870;-530322
2024-04-25T22:29:15.611;537278356904731129;-411333;-418979;-398886;-530336
2024-04-25T22:29:15.629;537278356922887050;-411364;-419059;-398963;-530315
2024-04-25T22:29:15.647;537278356941046157;-411396;-418978;-398988;-530309
2024-04-25T22:29:15.666;537278356959205243;-411443;-419060;-399010;-530335
2024-04-25T22:29:15.684;537278356977364329;-411374;-419075;-399000;-530383
2024-04-25T22:29:15.702;537278356995523415;-411399;-419050;-399003;-530340
2024-04-25T22:29:15.720;537278357013682501;-411377;-419066;-399004;-530351
2024-04-25T22:29:15.738;537278357031841587;-411431;-419059;-399000;-530415
2024-04-25T22:29:15.756;537278357050000673;-411438;-419126;-399019;-530367
2024-04-25T22:29:15.775;537278357068159759;-411411;-419083;-398971;-530402
2024-04-25T22:29:15.793;537278357086318845;-411459;-419090;-399026;-530371
2024-04-25T22:29:15.811;537278357104477931;-411403;-419082;-398961;-530340
2024-04-25T22:29:15.829;537278357122637017;-411385;-419058;-398942;-530358
2024-04-25T22:29:15.847;537278357140796103;-411434;-419122;-399016;-530401
2024-04-25T22:29:15.865;537278357158955189;-411416;-419137;-398949;-530310
2024-04-25T22:29:15.883;537278357177114275;-411392;-419158;-398978;-530325
2024-04-25T22:29:15.902;537278357195273361;-411375;-419164;-398967;-530329
2024-04-25T22:29:15.920;537278357213432447;-411425;-419170;-398992;-530394
2024-04-25T22:29:15.938;537278357231591533;-411402;-419131;-398975;-530326
2024-04-25T22:29:15.956;537278357249750619;-411370;-419168;-398949;-530308
2024-04-25T22:29:15.974;537278357267909705;-411397;-419162;-398994;-530380
2024-04-25T22:29:15.992;537278357286068791;-411370;-419170;-398963;-530349
2024-04-25T22:29:16.011;537278357304227877;-411337;-419152;-398933;-530360
2024-04-25T22:29:16.029;537278357322386963;-411325;-419183;-398866;-530317
2024-04-25T22:29:16.047;537278357340546049;-411295;-419134;-398875;-530325
2024-04-25T22:29:16.065;537278357358705135;-411294;-419138;-398887;-530362
2024-04-25T22:29:16.083;537278357376864221;-411227;-419050;-398835;-530328
2024-04-25T22:29:16.101;537278357395023307;-411238;-419090;-398812;-530311
2024-04-25T22:29:16.120;537278357413182393;-411159;-419073;-398692;-530283
2024-04-25T22:29:16.138;537278357431341479;-411152;-419009;-398722;-530315
2024-04-25T22:29:16.156;537278357449500565;-411135;-418980;-398651;-530337
2024-04-25T22:29:16.174;537278357467659651;-411159;-418992;-398659;-530333
2024-04-25T22:29:16.192;537278357485818737;-411215;-419088;-398762;-530315
2024-04-25T22:29:16.210;537278357503977823;-411314;-419197;-398846;-530378
2024-04-25T22:29:16.228;537278357522136909;-411419;-419385;-398993;-530308
2024-04-25T22:29:16.247;537278357540295995;-411594;-419553;-399149;-530354
2024-04-25T22:29:16.265;537278357558455081;-411769;-419686;-399297;-530358
2024-04-25T22:29:16.283;537278357576614167;-411882;-419862;-399492;-530349
2024-04-25T22:29:16.301;537278357594773253;-411974;-419923;-399541;-530342
2024-04-25T22:29:16.319;537278357612932339;-412065;-420050;-399613;-530324
2024-04-25T22:29:16.337;537278357631091425;-412119;-420088;-399758;-530346
2024-04-25T22:29:16.356;537278357649250511;-412221;-420174;-399846;-530344
2024-04-25T22:29:16.374;537278357667409597;-412216;-420190;-399877;-530334
2024-04-25T22:29:16.392;537278357685568683;-412240;-420240;-399884;-530322
2024-04-25T22:29:16.410;537278357703727769;-412281;-420224;-399928;-530353
2024-04-25T22:29:16.428;537278357721886855;-412284;-420303;-399961;-530301
2024-04-25T22:29:16.446;537278357740045941;-412344;-420332;-399997;-530324
2024-04-25T22:29:16.465;537278357758205027;-412421;-420385;-400042;-530328
2024-04-25T22:29:16.483;537278357776364113;-412463;-420463;-400162;-530339
2024-04-25T22:29:16.501;537278357794521716;-412530;-420578;-400186;-530312
2024-04-25T22:29:16.519;537278357812679281;-412681;-420670;-400269;-530362
2024-04-25T22:29:16.537;537278357830836846;-412665;-420689;-400278;-530350
2024-04-25T22:29:16.555;537278357848994411;-412774;-420768;-400375;-530334
2024-04-25T22:29:16.574;537278357867151976;-412813;-420873;-400485;-530393
2024-04-25T22:29:16.592;537278357885309541;-412816;-420842;-400481;-530374
2024-04-25T22:29:16.610;537278357903467106;-412883;-420942;-400516;-530369
2024-04-25T22:29:16.628;537278357921624671;-412893;-420937;-400533;-530357
2024-04-25T22:29:16.646;537278357939782236;-412899;-420962;-400588;-530352
2024-04-25T22:29:16.664;537278357957939801;-412905;-420965;-400549;-530329
2024-04-25T22:29:16.682;537278357976097366;-412900;-420941;-400486;-530332
2024-04-25T22:29:16.701;537278357994254931;-412881;-420936;-400519;-530356
2024-04-25T22:29:16.719;537278358012412496;-412853;-420987;-400508;-530336
2024-04-25T22:29:16.737;537278358030570061;-412803;-420996;-400512;-530322
2024-04-25T22:29:16.755;537278358048727626;-412832;-420901;-400465;-530322
2024-04-25T22:29:16.773;537278358066885191;-412827;-420913;-400445;-530314
2024-04-25T22:29:16.791;537278358085042756;-412874;-420999;-400461;-530290
2024-04-25T22:29:16.810;537278358103200321;-412852;-420943;-400423;-530266
2024-04-25T22:29:16.828;537278358121357886;-412873;-420954;-400423;-530358
2024-04-25T22:29:16.846;537278358139515451;-412867;-420945;-400427;-530364
2024-04-25T22:29:16.864;537278358157673016;-412835;-420979;-400422;-530294
2024-04-25T22:29:16.882;537278358175830581;-412808;-420966;-400368;-530276
2024-04-25T22:29:16.900;537278358193988146;-412796;-420943;-400364;-530334
2024-04-25T22:29:16.919;537278358212145711;-412809;-420925;-400361;-530351
2024-04-25T22:29:16.937;537278358230303276;-412752;-420953;-400372;-530337
2024-04-25T22:29:16.955;537278358248460841;-412679;-420896;-400338;-530252
2024-04-25T22:29:16.973;537278358266618406;-412706;-420896;-400320;-530302
2024-04-25T22:29:16.991;537278358284775971;-412622;-420894;-400274;-530346
2024-04-25T22:29:17.009;537278358302933536;-412623;-420864;-400211;-530249
2024-04-25T22:29:17.027;537278358321091101;-412601;-420859;-400240;-530305
2024-04-25T22:29:17.046;537278358339248666;-412574;-420790;-400139;-530309
2024-04-25T22:29:17.064;537278358357406231;-412488;-420715;-400065;-530293
2024-04-25T22:29:17.082;537278358375563796;-412553;-420770;-400099;-530283
2024-04-25T22:29:17.100;537278358393721361;-412461;-420730;-399978;-530275
2024-04-25T22:29:17.118;537278358411878926;-412471;-420733;-400000;-530371
2024-04-25T22:29:17.136;537278358430036491;-412503;-420770;-400069;-530346
2024-04-25T22:29:17.155;537278358448194056;-412611;-420915;-400131;-530327
2024-04-25T22:29:17.173;537278358466351621;-412695;-420964;-400207;-530322
2024-04-25T22:29:17.191;537278358484509186;-412905;-421230;-400404;-530351
2024-04-25T22:29:17.209;537278358502666751;-413014;-421313;-400546;-530363
2024-04-25T22:29:17.227;537278358520824316;-413230;-421552;-400734;-530422
2024-04-25T22:29:17.245;537278358538981881;-413311;-421568;-400866;-530368
2024-04-25T22:29:17.263;537278358557139446;-413344;-421646;-400972;-530327
2024-04-25T22:29:17.282;537278358575297011;-413490;-421796;-401064;-530330
2024-04-25T22:29:17.300;537278358593454576;-413544;-421864;-401173;-530357
2024-04-25T22:29:17.318;537278358611611266;-413588;-421965;-401176;-530259
2024-04-25T22:29:17.336;537278358629767950;-413672;-421959;-401201;-530329
2024-04-25T22:29:17.354;537278358647924634;-413756;-422046;-401187;-530337
2024-04-25T22:29:17.372;537278358666081318;-413650;-421993;-401228;-530308
2024-04-25T22:29:17.391;537278358684238002;-413740;-422040;-401228;-530339
2024-04-25T22:29:17.409;537278358702394686;-413763;-422065;-401276;-530328
